seq_id,mode,t,reward,value,lambda_return,reward_component,value_component,steer,gas,brake
1,actor,1,-0.11874747276306152,48.67964553833008,47.18751525878906,-0.9900508522987366,48.17756652832031,-1.0,0.9999985694885254,2.9802322387695312e-08
1,actor,2,-0.11727654933929443,49.680152893066406,47.68431091308594,-0.9264256954193115,48.61073684692383,-1.0,0.9999966621398926,5.960464477539063e-08
1,actor,3,-0.11367964744567871,50.4575080871582,48.17005920410156,-0.860339343547821,49.0303955078125,-1.0,0.9999909996986389,2.384185791015625e-07
1,actor,4,-0.10965251922607422,50.96364974975586,48.656070709228516,-0.7938965559005737,49.44996643066406,-1.0,0.9999771118164062,7.152557373046875e-07
1,actor,5,-0.10585987567901611,51.36506652832031,49.14742660522461,-0.7275322079658508,49.87495422363281,-1.0,0.9999497532844543,1.6689300537109375e-06
1,actor,6,-0.10270082950592041,51.66202926635742,49.650203704833984,-0.661001980304718,50.31119918823242,-1.0,0.9998996257781982,3.546476364135742e-06
1,actor,7,-0.10005390644073486,52.07956314086914,50.159454345703125,-0.5936216115951538,50.75307083129883,-0.9999998211860657,0.9998143911361694,7.18235969543457e-06
1,actor,8,-0.09765541553497314,52.56000900268555,50.672821044921875,-0.5247929096221924,51.19760513305664,-0.9999985694885254,0.9996758699417114,1.3679265975952148e-05
1,actor,9,-0.09517264366149902,53.04759979248047,51.190452575683594,-0.45416000485420227,51.64460372924805,-0.9999902248382568,0.9994707107543945,2.3990869522094727e-05
1,actor,10,-0.09246945381164551,53.45589065551758,51.71670150756836,-0.3816984295845032,52.098392486572266,-0.9999454617500305,0.9991917610168457,3.87728214263916e-05
1,actor,11,-0.08940553665161133,53.79326248168945,52.255611419677734,-0.3075268268585205,52.563133239746094,-0.9997640252113342,0.9988488554954529,5.7756900787353516e-05
1,actor,12,-0.08595597743988037,54.05371856689453,52.811649322509766,-0.2319205403327942,53.0435676574707,-0.9992161989212036,0.9984558820724487,8.067488670349121e-05
1,actor,13,-0.08206832408905029,54.26820373535156,53.387908935546875,-0.15519890189170837,53.54310607910156,-0.9979627132415771,0.9980365633964539,0.00010654330253601074
1,actor,14,-0.07775712013244629,54.446048736572266,53.98713302612305,-0.07775712013244629,54.06489181518555,-0.9957294464111328,0.9976086616516113,0.0001347661018371582
2,actor,0,0.6205244064331055,77.09476470947266,79.8536605834961,7.163182735443115,72.69048309326172,0.9695742726325989,0.9999986886978149,0.0
2,actor,1,0.5387187004089355,78.74810028076172,80.10111999511719,6.956574440002441,73.14454650878906,-0.41851577162742615,0.9999995231628418,0.0
2,actor,2,0.5707005262374878,76.99678802490234,80.54338836669922,6.82387638092041,73.71951293945312,0.5099145770072937,0.9999991655349731,0.0
2,actor,3,0.6256965398788452,79.164306640625,80.86556243896484,6.648777961730957,74.21678161621094,0.7227463722229004,0.9999991655349731,0.0
2,actor,4,0.668217658996582,79.08851623535156,81.15362548828125,6.40412712097168,74.7494888305664,0.5815359354019165,0.9999992847442627,0.0
2,actor,5,0.7035812139511108,79.43445587158203,81.396484375,6.098787307739258,75.29769134521484,0.5667164325714111,0.9999994039535522,0.0
2,actor,6,0.7240428924560547,79.81646728515625,81.59700775146484,5.736529350280762,75.8604736328125,0.48614969849586487,0.9999994039535522,0.0
