seq_id,mode,source_file,source_t,reward_sum_discounted,reward_sum_undiscounted,reward_mean,lambda_t0,lambda_mean,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,steer_mean,gas_mean,brake_mean
258,actor,data/latent/train/1781975638980_heuristic_00010.npz,979,3.613628387451172,3.934591054916382,0.2623060643672943,67.37950897216797,71.63947296142578,2.4024720191955566,64.97704315185547,64.0763168334961,75.15106201171875,70.53821563720703,0.4994505047798157,0.9998180270195007,9.338061346397808e-08
259,actor,data/latent/train/1781975601594_heuristic_00006.npz,459,-1.6067824363708496,-1.719771146774292,-0.11465141177177429,27.037933349609375,30.47541618347168,-1.1690073013305664,28.206941604614258,23.775123596191406,33.91509246826172,29.833314895629883,0.9586915373802185,0.9993850588798523,2.8212863867338456e-07
260,actor,data/latent/train/1781975556701_heuristic_00001.npz,147,-1.474086880683899,-1.576095461845398,-0.10507302731275558,37.78824996948242,40.68081283569336,-1.0777087211608887,38.86595153808594,39.2003288269043,44.485923767089844,42.32952117919922,0.9960671067237854,0.9982309937477112,7.232030156956171e-07
261,actor,data/latent/train/1781975703598_heuristic_00017.npz,343,2.5785727500915527,2.751924514770508,0.18346163630485535,66.7198486328125,71.5718994140625,1.907612919807434,64.81221771240234,59.12894058227539,76.43494415283203,69.3381576538086,-0.47796007990837097,0.9998760223388672,8.761882668295584e-07
262,actor,data/latent/train/1781995855626_heuristic_00029.npz,219,-1.0605841875076294,-1.124184012413025,-0.0749455988407135,44.23039245605469,49.99606704711914,-0.8096861243247986,45.04007339477539,40.00040054321289,55.68242263793945,46.660430908203125,0.8416511416435242,0.9997235536575317,2.404053986992949e-07
263,actor,data/latent/train/1781995781052_heuristic_00021.npz,943,-1.495619773864746,-1.594148874282837,-0.10627659410238266,51.814334869384766,56.7873649597168,-1.1097495555877686,52.9240837097168,51.785343170166016,62.42692565917969,56.640281677246094,-0.41251450777053833,0.9999446868896484,1.370906801412275e-07
264,actor,data/latent/train/1781995734609_heuristic_00016.npz,567,-0.9488322734832764,-1.0271306037902832,-0.06847537308931351,32.980873107910156,34.197994232177734,-0.6516109704971313,33.63249969482422,40.36846923828125,36.148277282714844,38.59614944458008,0.9137069582939148,0.9963235855102539,5.245208853921213e-07
265,actor,data/latent/train/1781995688182_heuristic_00011.npz,883,-1.6180164813995361,-1.73208487033844,-0.11547232419252396,44.253944396972656,49.51921463012695,-1.1764342784881592,45.430381774902344,38.57598114013672,55.117183685302734,47.50077438354492,-0.487507700920105,0.9999018907546997,4.6491624061673065e-07
266,actor,data/latent/train/1781996010272_heuristic_00046.npz,562,2.5394418239593506,2.887230396270752,0.19248202443122864,86.41827392578125,92.51223754882812,1.313206672668457,85.10504913330078,75.5177230834961,97.47754669189453,92.19297790527344,0.243803471326828,0.9998432397842407,5.900859605389996e-07
267,actor,data/latent/train/1781975629865_heuristic_00009.npz,746,0.3638228178024292,0.4445871114730835,0.029639141634106636,65.3261947631836,70.710693359375,0.08459705114364624,65.2416000366211,60.73984146118164,76.0788345336914,70.1495361328125,0.3588066101074219,0.999686062335968,2.211332230217522e-06
268,actor,data/latent/train/1781975776928_heuristic_00025.npz,456,-1.4592665433883667,-1.559859275817871,-0.10399062186479568,46.69685363769531,51.02474594116211,-1.0698299407958984,47.76667785644531,43.83323287963867,56.57680130004883,50.47614288330078,0.22209186851978302,0.999660849571228,7.355213256232673e-06
269,actor,data/latent/train/1781995954713_heuristic_00040.npz,918,1.1386559009552002,1.263161540031433,0.08421076834201813,47.19300842285156,48.297218322753906,0.6874779462814331,46.505531311035156,53.1843376159668,49.8745002746582,52.97068405151367,-0.24665988981723785,0.9990660548210144,1.312096901529003e-05
270,actor,data/latent/train/1781995624027_heuristic_00004.npz,686,-1.6260302066802979,-1.7428135871887207,-0.11618757247924805,36.93389892578125,39.264827728271484,-1.1747488975524902,38.10865020751953,40.29590606689453,42.54220199584961,42.306453704833984,0.6353231072425842,0.9997640252113342,1.4702478665640228e-06
271,actor,data/latent/train/1781995772209_heuristic_00020.npz,29,9.380974769592285,10.110876083374023,0.6740583777427673,89.23194885253906,92.13907623291016,6.573153018951416,82.65880584716797,83.4602279663086,94.31362915039062,90.24649047851562,-0.07421980053186417,0.9999985098838806,0.0
272,actor,data/latent/train/1781975759513_heuristic_00023.npz,241,-1.3642146587371826,-1.4566012620925903,-0.09710674732923508,58.62301254272461,63.66692352294922,-1.0035874843597412,59.62661361694336,57.977413177490234,69.57913208007812,64.19822692871094,0.5026695728302002,0.999083936214447,3.703435368151986e-06
273,actor,data/latent/train/1781995605201_heuristic_00002.npz,622,-1.6540066003799438,-1.7720729112625122,-0.11813819408416748,27.76714515686035,30.244558334350586,-1.197575330734253,28.9647216796875,26.029399871826172,32.922359466552734,31.824893951416016,0.8994104862213135,0.9980932474136353,9.00030158845766e-07
274,actor,data/latent/train/1781996037878_heuristic_00049.npz,234,-1.4063012599945068,-1.5041396617889404,-0.10027597844600677,55.71855163574219,59.53759002685547,-1.0267345905303955,56.74528884887695,58.253875732421875,64.78691864013672,61.863887786865234,-0.10086648166179657,0.999862015247345,5.642572773467691e-07
275,actor,data/latent/train/1781995734609_heuristic_00016.npz,781,3.556536912918091,3.848613977432251,0.25657427310943604,73.66128540039062,76.21919250488281,2.4276065826416016,71.23368835449219,78.4703598022461,79.33696746826172,79.19611358642578,-0.002702947473153472,0.9999874234199524,5.9604645663569045e-09
276,actor,data/latent/train/1781995954713_heuristic_00040.npz,205,-1.6412187814712524,-1.759333610534668,-0.11728890985250473,32.73296356201172,36.796321868896484,-1.1851844787597656,33.91815948486328,28.578569412231445,41.3370475769043,35.25576400756836,0.23009419441223145,0.9999982118606567,0.0
277,actor,data/latent/train/1781995651476_heuristic_00007.npz,110,0.5168415307998657,0.5243065357208252,0.0349537692964077,55.3923225402832,60.080623626708984,0.4855485260486603,54.906776428222656,49.8249626159668,65.57981872558594,58.058902740478516,0.7546025514602661,0.999664843082428,3.6438307233765954e-06
278,actor,data/latent/train/1781996000904_heuristic_00045.npz,608,-0.5854997038841248,-0.608002781867981,-0.04053352028131485,52.26297378540039,58.348609924316406,-0.493452250957489,52.75642395019531,40.686153411865234,63.55757522583008,55.65090560913086,0.3722604811191559,0.9997655153274536,2.0921229406667408e-06
279,actor,data/latent/train/1781975620542_heuristic_00008.npz,247,-1.6643757820129395,-1.7838321924209595,-0.1189221441745758,15.836501121520996,18.897672653198242,-1.202888011932373,17.039390563964844,12.02846622467041,22.260780334472656,16.670930862426758,0.9691635370254517,0.999991774559021,0.0
280,actor,data/latent/train/1781975740977_heuristic_00021.npz,133,-1.0585856437683105,-1.101247787475586,-0.07341651618480682,51.85323715209961,56.86746597290039,-0.8701825141906738,52.723426818847656,52.24578094482422,62.033931732177734,56.649871826171875,-0.5866297483444214,0.9996970295906067,2.855062575690681e-06
281,actor,data/latent/train/1781975583574_heuristic_00004.npz,47,14.016450881958008,15.050390243530273,1.003359317779541,94.96525573730469,95.9925537109375,10.027278900146484,84.93798828125,89.6690902709961,96.05390167236328,93.48199462890625,0.3159905672073364,0.9999992251396179,0.0
282,actor,data/latent/train/1781995772209_heuristic_00020.npz,12,3.3872106075286865,3.6425161361694336,0.2428344041109085,70.57022857666016,75.10657501220703,2.422607898712158,68.14762115478516,72.89527130126953,80.0318832397461,73.3582763671875,0.2501208484172821,0.9999318718910217,1.01327898960335e-07
283,actor,data/latent/train/1781995642283_heuristic_00006.npz,580,0.782416820526123,0.8163431882858276,0.054422877728939056,50.70389175415039,54.18638610839844,0.6216753125190735,50.082210540771484,44.251285552978516,57.96340560913086,54.17658996582031,0.01426267996430397,0.999660849571228,3.625949148045038e-06
284,actor,data/latent/train/1781975795046_heuristic_00027.npz,509,0.6298648118972778,0.7793161869049072,0.05195441097021103,64.74593353271484,69.9057388305664,0.1256050169467926,64.62033081054688,64.2557601928711,74.80772399902344,69.8599624633789,0.48874780535697937,0.9998511075973511,9.477138291913434e-07
285,actor,data/latent/train/1781975703598_heuristic_00017.npz,579,-0.8431265354156494,-0.9019958972930908,-0.060133058577775955,57.20954895019531,61.62234878540039,-0.616215705871582,57.825767517089844,54.51945877075195,66.99278259277344,62.37062072753906,-0.07577504962682724,0.9999951720237732,0.0
286,actor,data/latent/train/1781995734609_heuristic_00016.npz,556,-1.2727811336517334,-1.3487311601638794,-0.08991540968418121,56.75313186645508,62.40692901611328,-0.9681320786476135,57.72127151489258,53.08833312988281,68.55494689941406,61.332298278808594,0.5559068322181702,0.9997923374176025,8.722146276340936e-07
