rollout_id,source_file,source_t,horizon,discounted_return,undiscounted_return,mean_reward,max_reward,min_reward,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
61,data/latent/train/1781975611090_heuristic_00007.npz,327,300,13.760693550109863,62.263729095458984,0.20754575729370117,0.6903641223907471,-0.11244142055511475,0.07635647803544998,0.9999998807907104,2.2749105710317963e-08,0.05666666850447655,1.0,1.0
62,data/latent/train/1781995883579_heuristic_00032.npz,366,300,26.68174934387207,51.43804931640625,0.17146015167236328,1.0361876487731934,-0.11748075485229492,0.4541550278663635,0.9999969601631165,6.665786145276797e-08,0.27000001072883606,1.0,1.0
63,data/latent/train/1781975657159_heuristic_00012.npz,591,300,15.618329048156738,73.26017761230469,0.24420057237148285,1.0103368759155273,-0.08279561996459961,0.08990896493196487,0.9999998211860657,6.467104185503558e-08,0.029999999329447746,1.0,1.0
64,data/latent/train/1781995855626_heuristic_00029.npz,943,300,6.624030590057373,121.68641662597656,0.40562137961387634,1.7748498916625977,-0.11756408214569092,0.23438794910907745,0.9999963641166687,9.059905892172537e-08,0.15333333611488342,1.0,1.0
65,data/latent/train/1781996119373_random_00002.npz,523,300,50.68970489501953,126.6143569946289,0.42204779386520386,1.7925076484680176,-0.1133279800415039,0.10024326294660568,0.9999998807907104,8.255243244548183e-08,0.05000000074505806,1.0,1.0
66,data/latent/train/1781975776928_heuristic_00025.npz,66,300,43.808528900146484,98.40943908691406,0.3280314803123474,1.296478271484375,-0.0791163444519043,0.03779810667037964,0.9999998807907104,2.831220591303918e-08,0.08666666597127914,1.0,1.0
67,data/latent/train/1781972431993_00004.npz,319,300,56.58298873901367,90.61656188964844,0.3020552098751068,1.520024299621582,-0.11834633350372314,0.3102547228336334,0.9999886155128479,1.864234604909143e-06,0.2566666603088379,1.0,1.0
68,data/latent/train/1781995883579_heuristic_00032.npz,858,300,10.845441818237305,73.0705337524414,0.24356846511363983,0.9816036820411682,-0.11957252025604248,0.06094453111290932,0.9999997019767761,1.400709148668966e-08,0.08666666597127914,1.0,1.0
69,data/latent/train/1781996187436_random_00010.npz,85,300,29.139698028564453,89.09100341796875,0.296970009803772,0.9657283425331116,-0.09229671955108643,0.09329081326723099,0.9999998211860657,3.5862129266206466e-08,0.03999999910593033,1.0,1.0
70,data/latent/train/1781995808764_heuristic_00024.npz,985,300,50.60280990600586,129.52183532714844,0.4317395091056824,1.3070602416992188,-0.09690535068511963,-0.045602332800626755,0.9999991655349731,3.049770924690165e-08,0.18333333730697632,1.0,1.0
