seq_id,value_start,value_actor_final,steer,gas,brake,value_dataset_like_final,delta_actor,delta_dataset_like
138,51.52149200439453,56.457122802734375,0.9970014095306396,0.9999876618385315,0.0,40.20063400268555,4.935630798339844,-11.320858001708984
139,52.80503463745117,61.74003601074219,0.30731257796287537,0.999969482421875,2.9802322387695312e-08,56.59366989135742,8.935001373291016,3.78863525390625
140,37.23944854736328,41.354610443115234,-0.9752781391143799,0.9999985694885254,0.0,35.45901870727539,4.115161895751953,-1.7804298400878906
141,18.15967559814453,24.348918914794922,-0.8259610533714294,0.9999974966049194,0.0,-2.2545552253723145,6.189243316650391,-20.414230823516846
142,67.56946563720703,71.65979766845703,0.9999997019767761,0.99853515625,3.6954879760742188e-06,65.17853546142578,4.09033203125,-2.39093017578125
143,52.1080436706543,67.5982437133789,0.9937373399734497,0.9977008104324341,2.682209014892578e-05,46.71429443359375,15.49020004272461,-5.393749237060547
144,19.187803268432617,19.348995208740234,-0.6214308738708496,0.9999977350234985,0.0,26.76514434814453,0.1611919403076172,7.577341079711914
145,94.17610931396484,99.88955688476562,-0.005441597197204828,0.9999991655349731,0.0,93.2162857055664,5.713447570800781,-0.9598236083984375
146,53.2572135925293,56.04651641845703,0.37022116780281067,0.9999927282333374,0.0,41.40693283081055,2.7893028259277344,-11.85028076171875
147,65.06561279296875,79.08219146728516,-0.16634601354599,0.9999989867210388,0.0,72.89716339111328,14.016578674316406,7.831550598144531
148,55.901058197021484,68.17159271240234,0.9998866319656372,0.9999997615814209,0.0,59.959259033203125,12.27053451538086,4.058200836181641
149,27.2781925201416,35.69539260864258,0.012096202000975609,0.9999897480010986,0.0,27.132850646972656,8.417200088500977,-0.1453418731689453
150,52.44091033935547,60.80503463745117,-0.9265581965446472,0.9999974966049194,0.0,55.67165756225586,8.364124298095703,3.2307472229003906
151,63.54153823852539,67.14167785644531,0.9999996423721313,0.9999970197677612,0.0,47.32734680175781,3.600139617919922,-16.214191436767578
