seq_id,source_file,source_t,reward_sum_undiscounted,reward_sum_discounted,reward_mean,reward_max,lambda_t0,lambda_mean_all_steps,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,value_max,value_min,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
127,data/latent/train/1781995808764_heuristic_00024.npz,490,-1.6664414405822754,-1.556624174118042,-0.1110960990190506,-0.09877371788024902,38.37656021118164,41.22922897338867,-1.1312377452850342,39.50780487060547,37.8120002746582,44.69595718383789,43.424041748046875,47.25413131713867,37.8120002746582,0.2627314329147339,0.9999248385429382,3.735224538559123e-07,0.7333333492279053,1.0,1.0
128,data/latent/train/1781995836527_heuristic_00027.npz,660,0.3168210983276367,0.29596593976020813,0.02112140692770481,0.10183191299438477,48.63780975341797,51.332786560058594,0.22204723954200745,48.41575241088867,48.99868392944336,55.134822845458984,52.79378128051758,55.134822845458984,48.99868392944336,0.22792455554008484,0.99947190284729,1.6291936333345802e-07,0.6000000238418579,1.0,1.0
129,data/latent/train/1781995855626_heuristic_00029.npz,473,-1.6338189840316772,-1.5269010066986084,-0.10892126709222794,-0.0869135856628418,44.529136657714844,48.73661422729492,-1.1140310764312744,45.64316940307617,45.151161193847656,53.286651611328125,49.40629577636719,55.10981369018555,44.150142669677734,-0.5208095908164978,0.999993622303009,0.0,0.8666666746139526,1.0,1.0
130,data/latent/train/1781995963949_heuristic_00041.npz,434,-1.5030767917633057,-1.4050188064575195,-0.10020511597394943,-0.08648908138275146,51.23448944091797,54.8399772644043,-1.0265824794769287,52.261070251464844,52.2879638671875,59.67961120605469,56.936092376708984,59.67961120605469,52.2879638671875,-0.018649287521839142,0.9984043836593628,2.195437809859868e-05,0.800000011920929,1.0,1.0
131,data/latent/train/1781975648229_heuristic_00011.npz,404,-1.5422568321228027,-1.4487230777740479,-0.1028171256184578,-0.06359660625457764,53.8881721496582,59.95543670654297,-1.0807256698608398,54.96889114379883,50.546695709228516,66.47852325439453,57.718841552734375,66.47852325439453,50.23812484741211,-0.999759316444397,0.9997608661651611,5.101561691844836e-05,1.0,1.0,1.0
132,data/latent/train/1781995669694_heuristic_00009.npz,80,16.601354598999023,15.571746826171875,1.1067569255828857,1.3283023834228516,77.1058349609375,71.55850219726562,11.534198760986328,65.57162475585938,84.24151611328125,67.86109161376953,75.92074584960938,85.54920959472656,67.86109161376953,0.3591473400592804,0.9996815323829651,9.318192724094843e-07,0.6666666865348816,1.0,1.0
133,data/latent/train/1781975731978_heuristic_00020.npz,587,-1.704455852508545,-1.5929322242736816,-0.11363039165735245,-0.1015695333480835,45.65923309326172,51.50077438354492,-1.160504698753357,46.81973648071289,38.26179885864258,57.24583053588867,48.820274353027344,57.48720932006836,38.17039108276367,0.21410568058490753,0.9969885349273682,9.876489457383286e-06,0.4000000059604645,1.0,1.0
134,data/latent/train/1781975694262_heuristic_00016.npz,921,-1.7485307455062866,-1.6320319175720215,-0.11656871438026428,-0.11296069622039795,32.33831787109375,33.59410095214844,-1.181793451309204,33.52011489868164,39.34162902832031,36.575645446777344,37.49176788330078,40.81233215332031,35.001373291015625,0.09080769866704941,0.9998123049736023,1.253684331459226e-06,0.6666666865348816,1.0,1.0
135,data/latent/train/1781975574208_heuristic_00003.npz,843,1.0580804347991943,0.866654634475708,0.07053869217634201,0.7434756755828857,69.71598815917969,74.55512237548828,0.22968319058418274,69.48628997802734,52.928470611572266,78.95049285888672,75.02179718017578,78.95049285888672,52.928470611572266,0.21066832542419434,0.9996374845504761,8.513529792253394e-06,0.9333333373069763,1.0,1.0
136,data/latent/train/1781995982334_heuristic_00043.npz,511,-1.438005805015564,-1.349363088607788,-0.09586705267429352,-0.06166291609406471,48.27641677856445,53.38064956665039,-1.0046571493148804,49.281070709228516,45.173866271972656,59.034854888916016,52.01771545410156,59.034854888916016,44.624088287353516,-0.11201014369726181,0.9999911785125732,3.973643192267673e-09,0.6000000238418579,1.0,1.0
