seq_id,t,reward,discount,value,next_value,lambda_return,reward_component,value_component,steer,gas,brake
1,1,-0.11800265312194824,0.9900000095367432,41.17141342163086,41.279380798339844,38.905094146728516,-1.104203462600708,40.009307861328125,-1.0,0.9999974966049194,2.9802322387695312e-08
1,2,-0.11714053153991699,0.9900000095367432,41.279380798339844,41.24898910522461,39.31926727294922,-1.0485920906066895,40.36786651611328,-1.0,0.9990928173065186,5.364418029785156e-07
1,3,-0.11641192436218262,0.9900000095367432,41.24898910522461,41.35828399658203,39.76032257080078,-0.9903790950775146,40.750709533691406,-1.0,0.9999427199363708,2.682209014892578e-06
1,4,-0.11585533618927002,0.9900000095367432,41.35828399658203,41.645973205566406,40.222755432128906,-0.9292579889297485,41.15201950073242,-1.0,0.9999125599861145,8.761882781982422e-06
1,5,-0.1154470443725586,0.9900000095367432,41.645973205566406,42.14280319213867,40.698707580566406,-0.8648619651794434,41.563575744628906,-0.9999997615814209,0.9999618530273438,3.3408403396606445e-05
1,6,-0.11502230167388916,0.9900000095367432,42.14280319213867,42.66999435424805,41.17818832397461,-0.7968260645866394,41.97502136230469,-0.9999986290931702,0.9983551502227783,3.7550926208496094e-06
1,7,-0.11451184749603271,0.9900000095367432,42.66999435424805,43.18074035644531,41.65980529785156,-0.7249375581741333,42.38474655151367,-0.9999972581863403,0.999401330947876,2.562999725341797e-06
1,8,-0.11385047435760498,0.9900000095367432,43.18074035644531,43.62200164794922,42.144466400146484,-0.6490438580513,42.79351043701172,-0.9999887943267822,0.9996854066848755,0.0002714395523071289
1,9,-0.11302196979522705,0.9900000095367432,43.62200164794922,44.023738861083984,42.6358642578125,-0.56905198097229,43.204917907714844,-0.9999603033065796,0.9955882430076599,1.8715858459472656e-05
1,10,-0.11200165748596191,0.9900000095367432,44.023738861083984,44.38425064086914,43.136322021484375,-0.4848804175853729,43.6212043762207,-0.999929666519165,0.9993470907211304,9.238719940185547e-06
1,11,-0.11076033115386963,0.9900000095367432,44.38425064086914,44.73991775512695,43.64838409423828,-0.3964686393737793,44.04485321044922,-0.9998560547828674,0.9907984733581543,0.00021958351135253906
1,12,-0.10926258563995361,0.9900000095367432,44.73991775512695,45.081459045410156,44.17280197143555,-0.3037834167480469,44.476585388183594,-0.9997462034225464,0.9763414859771729,0.0008148550987243652
1,13,-0.10755980014801025,0.9900000095367432,45.081459045410156,45.436527252197266,44.7108268737793,-0.2068270444869995,44.91765213012695,-0.9990363121032715,0.9976982474327087,0.00041025876998901367
1,14,-0.10554730892181396,0.9900000095367432,45.436527252197266,45.82619857788086,45.262386322021484,-0.10554730892181396,45.36793518066406,-0.998930037021637,0.9999182224273682,4.214048385620117e-05
