steer,gas,brake
-1.0,0.9999996,0.0
1.0,0.99623847,3.7550926e-06
-1.0,0.99976397,4.5239925e-05
-0.9973382,0.99999285,0.0
0.9999147,0.9988643,3.7252903e-06
0.9993933,0.9997877,2.3841858e-07
-1.0,0.9999999,0.0
1.0,0.9997901,2.9802322e-08
-1.0,0.9999999,0.0
0.9999889,0.9999981,0.0
-0.9998613,0.99999523,0.0
-0.99644613,0.99999934,0.0
0.94657224,0.9999993,0.0
0.99999946,0.99996006,0.0
1.0,0.98999316,7.4505806e-07
1.0,0.99959546,1.7881393e-07
-0.9999998,0.9999994,0.0
0.99997103,0.9999496,2.9802322e-08
1.0,0.99661493,1.1622906e-06
1.0,0.99863213,3.874302e-07
-1.0,0.99999946,0.0
-0.99666494,0.99948335,9.864569e-06
-0.99990195,0.9999994,0.0
0.9981785,0.99999607,0.0
-1.0,0.99999946,0.0
-0.95594895,0.9999075,4.172325e-07
0.9990496,0.9998709,8.940697e-08
0.99997246,0.9999923,0.0
-0.99999535,0.99997675,8.940697e-08
0.9970938,0.99999356,0.0
1.0,0.99992514,0.0
1.0,0.9995067,2.3841858e-07
1.0,0.999403,1.7881393e-07
