step,actor_loss,value_loss,mean_return,mean_reward,mean_value,mean_entropy
7350,-61.2158,13.8799,61.2158,0.0795,60.4273,-3.2648
7400,-71.5671,10.8671,71.5671,0.1896,71.2675,-3.329
7450,-63.733,9.7892,63.733,0.1748,63.7946,-3.273
7500,-71.3383,9.9861,71.3383,0.189,71.7848,-3.2399
7550,-63.9808,12.0517,63.9808,0.1063,63.4576,-3.2408
7600,-60.8874,17.0949,60.8874,0.1433,60.7292,-3.1511
7650,-61.6887,12.3628,61.6887,0.126,61.4432,-3.3013
7700,-67.5446,15.1389,67.5446,0.2076,67.4653,-3.2881
7750,-66.0055,14.6371,66.0055,0.1829,65.9219,-3.2947
7800,-68.4487,17.9664,68.4487,0.1754,68.0413,-3.129
7850,-71.0633,17.4385,71.0633,0.1797,71.3972,-3.0816
7900,-64.5921,14.7678,64.5921,0.1761,64.7112,-3.2161
7950,-68.4376,11.5325,68.4376,0.159,68.7818,-3.142
8000,-64.9658,17.56,64.9658,0.1497,65.7019,-3.1042
8050,-62.3832,20.5493,62.3832,0.1815,63.7998,-2.9789
8100,-57.6343,12.0155,57.6343,0.1576,57.4921,-3.0338
8150,-62.6557,12.194,62.6557,0.2294,62.503,-2.887
8200,-60.4222,10.3852,60.4222,0.1777,60.8821,-3.0275
8250,-61.8405,16.4459,61.8405,0.1741,62.0769,-3.0859
8300,-62.0875,10.8889,62.0875,0.1479,62.4379,-3.0008
8350,-62.7824,9.1981,62.7824,0.119,63.1516,-3.0062
8400,-57.3567,579.7313,57.3567,-0.2213,59.8792,-2.9567
8450,-61.9257,8.4788,61.9257,0.0863,62.1335,-3.083
8500,-66.3788,12.9083,66.3788,0.1821,67.0424,-3.0005
8550,-62.6011,8.6945,62.6011,0.1298,63.0046,-3.0284
8600,-59.7801,8.589,59.7801,0.1334,60.2131,-2.9875
8650,-54.4673,17.2454,54.4673,0.1131,54.9244,-2.9504
8700,-61.6513,8.651,61.6513,0.1228,61.8824,-2.9389
8750,-57.5184,10.4823,57.5184,0.1531,57.5445,-3.1011
8800,-54.718,16.9512,54.718,0.1824,54.6723,-3.0741
8850,-53.925,14.19,53.925,0.1012,53.9226,-3.0057
8900,-57.2189,15.8717,57.2189,0.1204,57.2983,-3.2077
8950,-69.2745,15.4663,69.2745,0.2148,69.3364,-3.0323
9000,-61.2908,13.3157,61.2908,0.1768,61.1428,-3.0422
9050,-60.6843,10.8492,60.6843,0.1504,60.657,-3.1646
9100,-62.8613,10.8631,62.8613,0.1559,62.4614,-3.1323
9150,-63.4536,8.422,63.4536,0.2164,63.2391,-2.9209
9200,-54.6153,10.6432,54.6153,0.1352,54.6163,-3.1781
9250,-52.4981,9.1258,52.4981,0.1321,52.8857,-3.0921
9300,-52.947,10.2915,52.947,0.1642,53.6172,-3.1815
9350,-50.9263,11.932,50.9263,0.1543,50.9007,-3.1162
9400,-48.8825,15.1409,48.8825,0.1285,48.4727,-2.9666
9450,-51.0845,10.2056,51.0845,0.1492,51.3539,-3.0974
9500,-46.0899,11.6091,46.0899,0.0855,45.9311,-3.2237
9550,-57.9333,13.0987,57.9333,0.135,57.7762,-3.0942
9600,-60.9183,8.1101,60.9183,0.195,61.3878,-2.9993
9650,-53.1987,12.1343,53.1987,0.1416,52.9652,-2.9894
9700,-54.4556,7.54,54.4556,0.1512,54.7993,-2.98
9750,-48.4368,13.8606,48.4368,0.1726,48.7801,-3.0686
9800,-51.4973,6.3465,51.4973,0.221,51.4996,-2.985
9850,-48.6174,14.3242,48.6174,0.1262,48.2256,-2.9559
9900,-49.4246,6.6123,49.4246,0.1143,49.2428,-2.9679
9950,-53.5211,8.6386,53.5211,0.1898,54.0087,-3.0787
10000,-52.8157,10.1026,52.8157,0.152,52.962,-3.1203
